Id,SalePrice
1461,125278.15718924774
1462,154822.76711160233
1463,186743.57207870827
1464,189520.60490535546
1465,190239.001590561
1466,182036.10235316254
1467,174884.23184697193
1468,157782.0173097337
1469,186901.24575682363
1470,120698.06528865601
1471,198010.82466092086
1472,95442.3212331206
1473,93739.63618454627
1474,148013.38245884745
1475,127100.79278123529
1476,374815.90627764026
1477,258838.96491632942
1478,278427.2506805137
1479,264445.0780792871
1480,458587.1638113621
1481,300616.8547182682
1482,197315.32163168158
1483,171042.28517867118
1484,172662.76480368208
1485,173075.8146775687
1486,192731.6985794465
1487,313049.3173097918
1488,232361.6171504792
1489,204846.3337299784
1490,203346.40710798
1491,190333.3834393025
1492,97553.191344352
1493,190245.32926722284
1494,333999.4228100771
1495,293085.69281006197
1496,224497.46979019372
1497,190679.5521608416
1498,147475.42972443489
1499,146921.98817296917
1500,138588.23202682496
1501,168723.4064733874
1502,139733.4367184973
1503,292117.57257206435
1504,231094.46048092275
1505,224415.6715570792
1506,184684.1001512171
1507,253817.92377980435
1508,191555.72894941454
1509,155999.7701113101
1510,147330.0043571761
1511,144293.7686251379
1512,170028.50401811293
1513,144528.26433177583
1514,160173.51375368962
1515,202585.68070724557
1516,154071.87331706888
1517,155042.54837816724
1518,139667.36573758698
1519,210367.80182092998
1520,129207.78962890596
1521,135969.77820921375
1522,174286.03589783367
1523,112829.50538133067
1524,117451.27277165711
1525,119413.32635905044
1526,120951.21164263933
1527,111838.65196342676
1528,133786.25517356655
1529,146869.21993230644
1530,160606.42401405855
1531,117212.27706247992
1532,96625.78793634081
1533,141289.14990309015
1534,119092.64661204914
1535,153889.08060466812
1536,107676.40158900122
1537,84134.00741170884
1538,146759.6752703518
1539,188230.3491733714
1540,95260.03966838526
1541,138044.03427437705
1542,140968.89537492537
1543,204365.09182554373
1544,86874.86907971809
1545,106502.71572573278
1546,126290.14554704417
1547,123105.77323761502
1548,127152.13622236512
1549,102708.06402973935
1550,137043.8350141198
1551,117978.89368096682
1552,145841.3058522576
1553,141619.53080706712
1554,117368.0267615656
1555,170184.63023328537
1556,90744.5669044256
1557,104106.07313415429
1558,91130.47714751451
1559,81464.26758578845
1560,142518.83273814572
1561,122054.8707687282
1562,123453.31731219737
1563,119556.4017002518
1564,154275.17052161458
1565,141732.69943494763
1566,239785.72259868728
1567,82284.89459099292
1568,217694.31181179057
1569,142167.5850490918
1570,128370.3670141032
1571,135318.52321017385
1572,148703.3844341551
1573,262527.488663539
1574,118573.95467856571
1575,226241.65549461223
1576,231580.99590116573
1577,190577.23007839487
1578,143501.5710579552
1579,143840.70108495431
1580,195677.83002957632
1581,150130.9324137151
1582,125078.87089581892
1583,333572.05048663646
1584,237975.74078660255
1585,138060.11102147758
